;Unnamed: 0;Z;N;dz_BE/A;dz_ME;A;dz_BE;dz_S1n;dz_S1p;dz_S2p;dz_S2n;ame_ME;ame_BE/A;ame_AM;ame_BE;ame_S2p;ame_S2n;BE_diff_dz_ame;Surf;Asym;Coul;Pair;Z_parity;N_parity;Z_distance;N_distance;N-Z;ame_AM_unc;ame_BDE;ame_BDE_unc;ame_BE/A_unc;ame_ME_unc;rescaled_Asym;rescaled_Coul;rescaled_N;rescaled_N_distance;rescaled_N_parity;rescaled_Pair;rescaled_Surf;rescaled_Z;rescaled_Z_distance;rescaled_Z_parity;rescaled_ame_BE;BE_Predictions;Difference_BE_AME_ANN;Difference_BE_DZ_AME
0;38;4.0;12.0;4.14083195;59.7593613;16.0;66.2533112;0.5823774499999956;27.61099775;47.98846054;-1.999873100000002;57.447139;4.2852851;16.061672036;68.5645616;-28.8973339;-1.350000599999999;2.311250400000006;6.349604207872797;4.0;4.762203155904598;0.25;1.0;1.0;2.0;4.0;8.0;177.99;20335.4399;167.6075;10.3623;165.797;0.2608445848893996;0.0022910219821613;0.0677966101694915;0.1379310344827586;1.0;0.2036337652109244;0.1235054548296097;0.0338983050847457;0.0909090909090909;1.0;0.0359873965546138;70.53548125903309;-1.9709196590330862;-2.311250400000006
1;49;5.0;11.0;5.43484879;38.2727509;16.0;86.95758064;-0.2242474100000038;21.28664689;45.98755742000001;1.682024119999994;37.111699;5.5073535;16.039841045;88.117656;15.086728499999998;2.6946246000000103;1.1600753599999931;6.349604207872797;2.25;7.937005259840997;0.25;-1.0;-1.0;3.0;3.0;6.0;26.373;23417.5656;24.8254;1.5354;24.566;0.1467250790002873;0.0038183699702689;0.0621468926553672;0.1034482758620689;0.0;0.2036337652109244;0.1235054548296097;0.0423728813559322;0.1363636363636363;0.0;0.0453240875724195;89.60402794904262;-1.4863719490426206;-1.1600753599999933
2;50;5.0;12.0;5.17970181;45.2467651;17.0;88.05493077;1.0973501299999953;21.80161957;49.41261732;0.8731027199999915;43.716322;5.2696677;17.046931399;89.5843509;-21.840433099999995;1.3836938999999984;1.5294201300000054;6.611489018457944;2.8823529411764706;7.778222374656407;0.2425356250363329;-1.0;1.0;3.0;4.0;7.0;219.114;22684.4422;204.841;12.0061;204.104;0.1879615391114791;0.0037419819900758;0.0677966101694915;0.1379310344827586;1.0;0.1957079302977652;0.129551547472629;0.0423728813559322;0.1363636363636363;0.0;0.0460244410212675;92.90804438577592;-3.3236934857759195;-1.5294201300000054
3;51;5.0;13.0;4.92249775;52.7681198;18.0;88.60495949999999;0.550028729999994;23.89314302;50.19432254;1.6473788599999892;51.79264;4.9766306;18.055601683;89.57935080000001;-23.309133899999985;1.461694800000012;0.9743913000000076;6.868285455319991;3.555555555555556;7.63142828368888;0.2357022603955158;-1.0;-1.0;3.0;5.0;8.0;219.18;26873.3742;206.3572;11.3425;204.165;0.2318618532350219;0.0036713616325967;0.0734463276836158;0.1724137931034483;0.0;0.1884521158045007;0.1354801656471466;0.0423728813559322;0.1363636363636363;0.0;0.0460220534509013;89.18569156332315;0.39365923667686786;-0.9743913000000219
4;52;5.0;14.0;4.75975418;59.0091324;19.0;90.43532942;1.8303699200000096;23.70546248000001;52.38040595;2.380398650000004;59.770251;4.7196346;19.064166;89.6730574;-42.4695812;0.0887065000000002;-0.7622720199999975;7.1203673589019925;4.2631578947368425;7.495123535686309;0.2294157338705617;-1.0;1.0;3.0;6.0;9.0;564.0;27356.4961;534.4964;27.6507;525.363;0.2780054128426497;0.0036057875351205;0.0790960451977401;0.2068965517241379;1.0;0.1817769458597282;0.1412999401475462;0.0423728813559322;0.1363636363636363;0.0;0.0460667987762514;90.57438081390038;-0.9013234139003714;0.7622720199999975
5;53;5.0;15.0;4.49127626;67.6903152;20.0;89.8255252;-0.6098042200000009;25.52116615;52.32933316;1.2205657000000087;69.40156900000001;4.4056529;20.074505644;88.11305800000001;-43.70678360000001;-1.4662928000000102;-1.712467200000006;7.368062997280773;5.0;7.368062997280774;0.2236067977499789;-1.0;-1.0;3.0;5.0;10.0;586.538;31898.0019;593.0377;27.3178;546.357;0.3260557311117495;0.0035446606833205;0.0847457627118644;0.1724137931034483;0.0;0.1756088917444232;0.1470184496462978;0.0423728813559322;0.1363636363636363;0.0;0.045321892006622;91.01656663326919;-2.9035086332691833;1.7124671999999919
6;54;5.0;16.0;4.19658375;77.4589615;21.0;88.12825875;-1.6972664500000008;25.181099950000004;54.5905161;-2.3070706700000017;78.382887;4.1525265;21.084147485;87.2030565;-58.7669995;-2.470000899999999;-0.9252022500000124;7.611662611020244;5.761904761904762;7.249202486685949;0.2182178902359924;-1.0;1.0;3.0;4.0;11.0;599.75;32740.0;817.0;26.6031;558.664;0.3757404139478257;0.0034874787375553;0.0903954802259887;0.1379310344827586;1.0;0.1698868330957032;0.152642394880776;0.0423728813559322;0.1363636363636363;0.0;0.0448873621742881;90.93453300722315;-3.7314765072231495;0.9252022499999981
7;63;6.0;10.0;6.89816666;14.0773163;16.0;110.37066656;4.507874959999995;23.18883851;42.11748226;5.902274140000003;13.694133;6.9220546;16.014701255;110.7528736;42.188312;5.468396399999998;0.3822070399999973;6.349604207872797;1.0;11.905507889761497;0.25;1.0;1.0;2.0;2.0;4.0;3.84;8010.226;4.254;0.2236;3.578;0.0652111462223499;0.0057275549554034;0.0564971751412429;0.0689655172413793;1.0;0.2036337652109244;0.1235054548296097;0.0508474576271186;0.0909090909090909;1.0;0.0561325063591664;114.43117135427892;-3.6782977542789155;-0.3822070399999973
8;64;6.0;11.0;6.50885391;21.8688431;17.0;110.65051647;0.2798499099999958;23.69293583;44.97958272;4.787724869999991;21.03188;6.5580262000000005;17.02257865;111.4864454;14.155602199999992;4.983901399999988;0.8359289300000086;6.611489018457944;1.4705882352941178;11.66733356198461;0.2425356250363329;1.0;-1.0;2.0;3.0;5.0;18.641;13161.8007;22.9464;1.0215;17.365;0.0958987444446322;0.0056129729851137;0.0621468926553672;0.1034482758620689;0.0;0.1957079302977652;0.129551547472629;0.0508474576271186;0.0909090909090909;1.0;0.0564827902117302;113.60988330091536;-2.1234379009153628;-0.8359289299999944
9;65;6.0;12.0;6.3491888;26.3053284;18.0;114.2853984;3.634881930000006;26.230467630000007;48.03208720000001;3.9147318400000017;24.919266;6.4261321;18.02675193;115.6703778;21.783367700000003;4.917504199999995;1.384979400000006;6.868285455319991;2.0;11.44714242553332;0.2357022603955158;1.0;1.0;2.0;4.0;6.0;32.206;11806.0982;35.2821;1.6667;30.0;0.1304222924446998;0.0055070424488951;0.0677966101694915;0.1379310344827586;1.0;0.1884521158045007;0.1354801656471466;0.0508474576271186;0.0909090909090909;1.0;0.0584806368573326;117.60885678705945;-1.9384789870594545;-1.3849793999999918
